;;;;;;;;;;x,,,,,,,,,,
EVTNAME10000;Springtime of Nations;;;;;;;;;;;;x
EVTDESC10000;After less than a decade of quiet following the Hispanian Revolution and its subsequent defeat, it was clear to all of Europe that the dark clouds of liberalism creeping across Europe were not harmless. The clouds broke into an angry storm as liberal agitation erupted into open revolution across the continent. The Monarchical Ancien Regimes of Europe could only look on in horror and disgust, as the hymns of the Hispanian Revolution could again be heard echoing from Europe's tumultuous streets, and students and youth again gathered under republican quartereds, celebrating the ideals, dreams and wishes of a young generation, animated by the powerful message of human liberty -- in economic, cultural, social and national affairs -- that was European Liberalism.;;;;;;;;;;;;;x
EVTOPTA10000;We will be freemen, as our fathers were.;;;;;;;;;;;;x
EVTNAME10001;An Age of Liberalism;;;;;;;;;;;;x
EVTDESC10001;Although political liberalism was defeated not much more than a decade ago in the Hispanian War (1826-1829), its ideas and its lessons could not be purged from the memory of Europeans. Throughout Europe, as old legal systems find themselves increasingly challenged by modern technology and mores, the ideas of liberalism, political reform, freedom of speech, and the rights of peoples, rather than of monarchs, are proving again the old proverb that there is no stopping an idea whose time has come. Minorities long yoked under crowns and scepters are waking up to the realization that fate is theirs to make, and, across far away oceans, the riches of Africa and Asia beckon. As the dust settles on the battlefields of Catalonia and Navarra, Europe stands again at the beginning of a new era: An age of Liberalism.;;;;;;;;;;x
EVTOPTA10001;We can expect increased liberal activity in the coming years.;;;;;;;;;;;;;x
EVTDESC10050;Broken, busted, and thrown to the sides lie the barricades, and the cantoned flags have stopped waving from the window sills. The events that will be recorded by history as the $COUNTRY_ADJ$ Liberal Revolution of $YEAR$ are all in the past, and it seems that we have managed to weather the storm.;;;;;;;;;;;;x;;;;
EVTNAME10180;Anti-Albesan Tract;;;;;;;;;;;;;x;;;;
EVTDESC10180;In a time when the forces of revolution threaten to overthrow all the long-established orders of Europe, it becomes our sacred duty to voice our dissent. The Albesans -- holding nothing sacred save the profane -- are charlatans peddling false ideologies. What the liberal terror brought to Hispania, their radicalism now threatens to impose on $COUNTRY$.'\n\nThe widespread liberal agitation in $COUNTRY$ has mobilized the forces of reaction, and a leading conservative intellectual has published an Anti-Albesan tract.;;;;;;;;;;;;x;;;;
EVTNAME10210;Albesan Uprising;;;;;;;;;;;;x;;;;
EVTDESC10220;The sound of rain falling on the deserted square is deafening. A tattered pamphlet, thrown in the gutter -- the ink running out across the paper in soft blueish blooms -- is the only thing that still serves as proof that $PROVINCENAME$ was, up until just recently, a hotbed of liberal agitation. Depicted on the pamphlet is Lady Liberty, the iconographic personification of the Hispanian revolution, holding a republican cantoned flag. The pamphlet reads: 'Liberty, Equality, Brotherhood -- $COUNTRY$'. It is soon swept away by the rain and down into the sewers whence it came.;;;;;;;;;;x;;;;
EVTNAME10231;The Great Hungarian Uprising;;;;;;;;;;x
EVTDESC10231;Hungarian nationalists have become increasingly vocal in recent months at the unjust rulership that our supposedly democratic country has over them without their consent or participation. They have recently taken up arms and assaulted government officials and attacked our offices. If we are to call ourselves a democratic country, better than the absolute monarchy which we had until recently, then we must recognise our own failings and accommodate these people.;;;;;;;;;;x
EVTNAME11104;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME11106;The $FROMCOUNTRY_ADJ$ Proposal;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,
EVTNAME90120;The Propaganda Movement;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC90120;Three Filipino priests have been executed in the Manila, charged with subversion. While the executions are said to have been just, they are now considered martyrs by the Filipino people and have inspired the creation of a literary and organization known as 'the Propaganda Movement'. The organization consists of Filipino émigrés in the Netherlands, primarily liberals and students, who are attempting to increase awareness of the needs of the Phillipines and foster better relations between Holland and its colony.;;;;;;;;;;;;;x,,,,,,
EVTNAME90125;The Katipunan;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC90125;We have received reports from colonial officers in Manila regarding rumors of a secret organization called the 'Katipunan'. Formed by anti-$COUNTRY_ADJ$ Filipinos, they reportedly seek complete independence for the Phillipines. It's possible that limited home rule might mollify some of these revolutionaries, but nothing short of freedom will satisfy them for long. Tracking them down among sympathetic locals may prove difficult.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME90135;The Grito de Lares;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC90135;With conditions in our Puerto Rican colony so poor, the notion of independence has begun to spread among the local Caribenos. Reports from the colonial governor state a revolt has begun in the town of Lares, one that may be difficult to put down.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME90140;The Intentona de Yauco;;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC90140;We have received reports of an independence movement having been formed in Puerto Rico, with an uprising having been organized in the town of Yauco. While the movement doesn't yet have a great deal of support among local conservatives, many of whom are hoping there is still a chance to achieve independence from $COUNTRY$ through peaceful means, it's possible that their efforts could spread if we don't put a stop to it.;;;;;;;;;;;;;x,,,,,,,
EVTNAME90900;The Middle Kingdom;L'empire du Milieu;Das Königreich der Mitte;;;;;;;;;;;x,,,,,,,,,,
EVTDESC90900;We are now sufficently advanced for the European barbarians to regard us as ""Civilised"", and so they must respect our right to centralise and reject foreign influence throughout China.;Nous sommes suffisamment avancés pour que les barbares européens nous considèrent comme civilisés. Ainsi, ils doivent respecter notre droit à centraliser et à rejeter les influences étrangères à travers la Chine.;Wir sind nun ausreichend fortgeschritten,"" damit die europäischen Barbaren uns als """"zivilisiert"""" betrachten"", nun müssen sie daher unser Recht auf Zentralisierung und die Ablehnung des ausländischen Einflusses in China anerkennen.;;;;;;;;;;;x,,,,,,"
EVTOPTA90900;We are united again;Nous sommes à nouveau unis;Wir sind wieder vereint;;;;;;;;;;;x,,,,,,,,,,
EVTDESC90901;The Qin's new status has lead them to demand we submit to their authority, accepting will mean an end to our independant existence.;Le nouveau statuts des Qin les a conduit à nous demander de nous soumettre à leur autorité. Accepter sonnera le glas de notre indépendance.;Der neue Status der Qin hat sie dazu verleitet von uns zu verlangen, sich ihrer Autorität zu unterwerfen. Wenn wir annehmen, bedeutet dies das Ende unserer unabhängigen Existenz.;;;;;;;;;;;x,,,,,,,
EVTOPTA90901;We are united again;Nous sommes à nouveau unis;Wir sind wieder vereint;;;;;;;;;;;x,,,,,,,,,,
EVTNAME90902;The Breakup of China;;Der Zerfall Chinas;;;;;;;;;;;x;,,,,,,,,,,
EVTDESC90902;China has fractured.;;China bricht auseinander.;;;;;;;;;;;x;,,,,,,,,,,
EVTOPTA90902;Freedom!;;Freiheit!;;;;;;;;;;;x;,,,,,,,,,,
EVTOPTA90904;This cannot be borne!;;;;;;;;;;;;;x
EVTOPTB90904;Allow them to leave. We will not oppose them.;;;;;;;;;;;;;x
EVTOPTA90910;Wagons West!;Wagons à l'ouest !;Wagen gen Westen!;;;;;;;;;;;x,,,,,,,,,,
EVTNAME90017;The Hungarian Question;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC90017;With the recent unrest in Hungarian lands, the local Hungarian government has demanded greater autonomy from $COUNTRY_ADJ$ rule. Failure to provide it will only lead to further ethnic unrest.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME90030;Albanian Independence?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC90030;With the recent unrest in Albanian lands, the local Albanian government has demanded greater autonomy from $COUNTRY_ADJ$ rule. Failure to provide it will only lead to further ethnic unrest.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME90032;Iraqi Independence?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC90032;With the recent unrest in Iraqi lands, the local Iraqi government has demanded greater autonomy from $COUNTRY_ADJ$ rule. Failure to provide it will only lead to further ethnic unrest.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME95200;Turkmen Nationalism;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95200;A wave of nascent nationalism has begun stirring among the Turkmen peoples under $COUNTRY_ADJ$ rulership. While the notion of a Turkmenian state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME95201;Kazakh Nationalism;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95201;A wave of nascent nationalism has begun stirring among the Kazakh peoples under $COUNTRY_ADJ$ rulership. While the notion of a Kazakh state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME95205;Uzbek Nationalism;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95205;A wave of nascent nationalism has begun stirring among the Uzbek peoples under $COUNTRY_ADJ$ rulership. While the notion of a single Uzbek state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME95206;Reclaiming Uzbek Lands;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95206;The $COUNTRY_ADJ$ people are clamoring for all Uzebeks to be united under our flag.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME95210;Tajik Nationalism;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95210;A wave of nascent nationalism has begun stirring among the Tajik peoples under $COUNTRY_ADJ$ rulership. While the notion of a Tajik state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME95215;Kyrgyz Nationalism;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95215;A wave of nascent nationalism has begun stirring among the Kyrgyz peoples under $COUNTRY_ADJ$ rulership. While the notion of a modern Kyrgyz state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME95216;Reclaiming Kyrgyz Lands;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95216;The $COUNTRY_ADJ$ people are clamoring for all Kyrgyz to be united under our flag.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME95250;The White Rajah;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95250;Brunei's control over the southern regions has only ever been nominal, and the region has been self-governed under the Sultan of Sarawak. During a recent crisis, a Scot by the name of James Brooke provided the Sultan invaluable assistance in restoring order, and has been bestowed with the title of governor. This 'White Rajah' is now effectively the ruler, and is seeking alliance with Brunei. We must either recognize the independence of an area we only barely controlled, or seek to assert our authority and perhaps anger the Albannach in the process.;;;;;;;;;;;;x,,,,,
EVTNAME95251;The $COUNTRY_ADJ$ East Indies;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95251;The $COUNTRY_ADJ$ East India Company has been slowly spreading its influence within the East Indies, and is urging our government to establish protectorates over the remaining sultanates on the islands. Indeed, they have been stirring up trouble in the region. Many within our government feel that if $COUNTRY$ is to remain a power to be reckoned with, it must expand its colonial holdings.;;;;;;;;;;;;x,,,,,,,
EVTNAME95255;$FROMCOUNTRY_ADJ$ Unification;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95255;The call has been sent out for the peoples of the East Indies to unify under a common banner, for protection against foreign imperialism and to usher in a new world power to make the Europeans tremble. The people are cheering in the streets of $CAPITAL$ at the welcome news. Will $COUNTRY$ do its part?;;;;;;;;;;;;x,,,,,,,,,
EVTNAME95500;The $CAPITAL$ Conference of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95500;The colonial powers of the world have gathered in $CAPITAL$ to discuss the regulation of colonization and trade in Africa. The outcome has become known as the 'General Act of the $CAPITAL$ Conference', formalizing the scramble for the African continent. After this point, any civilized country will largely be seen as justified in aggression towards uncivilized African nations.;;;;;;;;;;;;x,,,,,,,,
EVTNAME95501;The Scramble for Africa;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95501;A conference has been held in $FROMCOUNTRY$, attended by all colonial powers, to discuss the regulation of colonization and trade in Africa. A general agreement has been reached, formalizing the scramble for the African continent. After this point, any civilized country will largely be seen as justified in aggression towards uncivilized African nations.;;;;;;;;;;;;x,,,,,,
EVTNAME95502;The Age of Colonialism;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95502;Word has reached $COUNTRY$ of a great meeting of colonial powers in Europe, wherein it was decided that African nations would be divided up amongst them-- as if our people were little more than children's toys discarded and left waiting to be picked up. This has caused a great deal of concern among those of our people with the knowledge to understand what this means. For others it has brought little more than resentment, as well as vows to fight for our independence when the day comes.;;;;;;;;;;;;x,,,,,,,,
EVTNAME95503;$COUNTRY$ in the Modern Age;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95503;'We have seen the outsiders. They come, with guns and riches we have never seen before. What they also bring is death, and we must always be wary what lies behind their smiles.'\n\n$COUNTRY$ stands on good terms with much of the western world, but our leaders are all too aware how quickly that could change. The Europeans believe we are not civilized, and the tone of our contact with them is slowly changing from friendly interest in trade to a strange paternalism coupled with cultural superiority. For now, $COUNTRY$ survives... but we must watch for the moment when the civilized nations decide our enslavement is the only way we can be 'saved'.;;;;;;;;;;;;x,,,,,
EVTNAME95504;The $COUNTRY_ADJ$ Jihad;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95504;$COUNTRY_ADJ$ muslims are calling for the Jihad to continue: all Islamic states of the Sahel, united under one flag!;;;;;;;;;;;;x,,,,,,,,,
EVTNAME95505;Imperialism Comes to $COUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95505;European presence in $COUNTRY$ is felt everywhere. Their traders come to $CAPITAL$ and dictate to our own merchants how trade will commence. They take what they want and pay what they wish. They tell our government what laws we may pass, and even when they do not we must always consider how they will react to what we do. If $COUNTRY$ does not act now, they will turn our nation into a colony under our very noses-- but perhaps that has already happened, and we must resign ourselves to their protection.;;;;;;;;;;;;x,,,,,,,
EVTNAME95506;The $FROMCOUNTRY_ADJ$ Protectorate;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95506;Our presence in $FROMCOUNTRY$ has reached the point where $COUNTRY_ADJ$ influence is felt in every level of their society. They are a protectorate in all but name, and the time has come for us to determine whether that status should be made official. Shall we agree to make $FROMCOUNTRY$ a protectorate and $COUNTRY_ADJ$ colony, or support their independence as a friendly ally?;;;;;;;;;;;;x,,,,,,,,
EVTNAME95507;Nationals Expelled from $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95507;A disturbing report has reached us of $COUNTRY_ADJ$ nationals being expelled from $FROMCOUNTRY$. Indeed, the $FROMCOUNTRY_ADJ$ government has systematically eliminated our influence-- meaning we are in a position where we must either accept the humiliation of being thrown out of an uncivilized country or step in and assert our authority. There are some who say this is a golden opportunity to establish a $FROMCOUNTRY_ADJ$ protectorate, while others say $FROMCOUNTRY$ is simply not worth the trouble.;;;;;;;;;;;;x,,,,,,,,
EVTNAME95508;The Sale of Assab;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95508;A $COUNTRY_ADJ$ shipping company has come into the ownership of the Red Sea port of Assab, sold to them by a local Afar sultan. The port would make for an excellent coaling station, and perhaps even provide a base for $COUNTRY$ to expand our influence in the area. Pushing for more direct control, however, could cause tensions with Assab's owner-- who might feel they have greater right to the port than the sultan.;;;;;;;;;;;;x,,,,,,
EVTDESC95509;The Red Sea port of Assab has been sold to $FROMCOUNTRY$ by the local Afar sultan. They have begun to use the port as a coaling station, and fears within the $COUNTRY_ADJ$ government are that they will use this base to expand their influence within $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME95510;Rebellion in Eritrea;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95510;With the Sudan in chaos, the Ethiopians have taken advantage of the situation to regain control over the Eritrean coastlands. Though we may yet regain control over the Sudan, we should consider whether the Eritreans must be punished for this trespass.;;;;;;;;;;;;x,,,,,,,,
EVTNAME95512;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95512;The 'Age of Princes' is upon us. The rulers of Ethiopia must struggle to unite the land under a single Emperor-- and now it is $COUNTRY$'s time to act.;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95639;The Paris Foreign Missions Society has been actively spreading Catholicism in $COUNTRY$ for many years now, or perhaps we should say they are attempting to, as they have encountered considerable resistance among the $COUNTRY_ADJ$ people. Recently, in the southern region of Cochinchina, one of the local aristocrats took offense to the intrusion of several missionaries and executed them-- without our leave. Word of the deed has reached the attention of the French government, meaning their eye will almost certainly turn to us.;;;;;;;;;;;;x,,,,,
EVTNAME95515;Ethiopian Rule;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC95515;Now that Imperial rule has been restored, we must endeavour to spread control over lands that neighbour our own but which are rightfully part of our Empire.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME95599;Native Society;;;;;;;;;;;;;;;;x
EVTDESC95599;We are the original inhabitants of this land, and we have managed to survive and even prosper despite the aggression of our alien neighbours. We do not share their values or their mores, and we do not want them to invade our earth, in war or in peace. We do not allow outsiders to immigrate to our land, nor do they want to come. Instead, we ensure good stewardship of the land and raise many sons to defend our home. We will show the rest of the world our strength and our resolve.;;;;;;;;;;;;;;;x
EVTOPTA95599;Let it be so.;;;;;;;;;;;;;;;;;x
EVTNAME96165;Italian Unification;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC96165;The Italians have managed to unify at long last, threatening $COUNTRY_ADJ$ interests in the region. We will have to decide whether it is in our best interests to object or to make friends with the new rulers. What has been done cannot now be undone, after all, and a united Italy could be a formidable enemy or a powerful $COUNTRY_ADJ$ ally.;;;;;;;;;;;;x,,,,,,,
EVTNAME96170;Il Risorgimento;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC96170;$COUNTRY$ has become the center of Italian nationalism, its people calling out for unification. Italian flags are flying in the streets of $CAPITAL$, and we must decide if we wish to support this call and bring all of Italy peacefully under our banner. If we refuse, our people will be upset... and it's unlikely the opportunity will arise again.;;;;;;;;;;;;x,,,,,,,
EVTNAME96215;Indian Nationalists Victorious!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC96215;Nationalists have succeedeed in taking over $COUNTRY_ADJ$ colonies in India. Our governors have been driven out and our territory lost.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME97000;The Revolution of Maria de Fonte;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97000;A growing dissatisfaction with the ruling government among Portugal's poor has grown into rebellion, spurred on by popular discontent with the prohibition against burials inside churches. The instigator of the initial riots is a woman by the name of Maria, and her nickname has come to be used to represent the rebellion-- which has a large contingent of peasant women among its supporters -- and which has been co-opted by revolutionaries in emulation of the rebellions elsewhere in Europe.;;;;;;;;;;;;x,,,,,,,,
EVTNAME97001;Peasant Revolt in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97001;The Maria de Fonte rebellion has spread to $PROVINCENAME$, with the lower classes rising up in opposition to the ruling government. Many are calling for the government's resignation, and there are signs that Queen Maria II may engineer a coup to restore order.;;;;;;;;;;;;x,,,,,,,,
EVTNAME97002;End of the Revolution;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97002;Portuguese forces have managed to restore order in the countryside, and the peasantry have been brought back under control. The danger of a royal coup has ended.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME97003;The Emboscada;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97003;Spurred on by the spreading revolts in Portugal, Queen Maria II has suspended the constitution and installed a reactionary government presided over by João Francisco de Saldanha Oliveira e Daun, 1st Duke of Saldanha. This has served to spur on the country's liberals to outrage, and begun talk of civil war.;;;;;;;;;;;;x,,,,,,,
EVTNAME97015;Regicide of King Carlos I;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97015;Upon returning to Lisbon from a brief trip abroad, King Carlos I and the royal family had their carriage fired upon by republican activists as they passed through the Terreiro do Paço. Three of the bullets struck and killed the King, while another fatally wounded the heir to the throne, Luis Filipe. During the turmoil, the police killed the assassins... but the King and the royal heir were not saved and were pronounced dead at the Naval Arsenal soon afterwards. Manuel, the king's youngest son, has been quickly acclaimed as the new King of Portugal.;;;;;;;;;;;;x,,,,
EVTNAME97020;The Republican Coup D'Etat;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97020;With the monarchy already weakened by the death of King Carlos, republican opponents have been able to gather considerable support in the capital. Members of the Carbonária, republican youth, and elements of the army have instigated a coup d'état in the palace. The young King Manuel and his family have reportedly escaped for exile to England, and only days later a new Portuguese Republic has been declared in Lisbon.;;;;;;;;;;;;x,,,,,,
EVTNAME97076;Settling Tarauaca;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97076;The jungles of Tarauaca lie in the heart of the Amazon, and rightfully belong to $COUNTRY$. Currently there are $COUNTRY_ADJ$ settlers eager for the opportunity to settle the region and have asked for the funds to assist them, though advisors say this may cause problems with neighboring states who also claim the territory.;;;;;;;;;;;;x,,,,,,,,
EVTNAME97080;Occupation of Araucania;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97080;Chilean forces have occupied more of the lands in the southern continent. The pacification of the local natives is ongoing.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME97085;Conquest of the Desert;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97085;Argentinian forces have occupied more of the lands in the southern continent. The pacification of the local natives is ongoing.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME97086;Pacification of $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97086;Through the judicious use of force, confiscation of native lands and the introduction of roads and other vestiges of civilization, conditions in $PROVINCENAME$ have greatly improved. The native patagonians are proving to be contentious, but their numbers are far too few for us to worry about.;;;;;;;;;;;;x,,,,,,,
EVTNAME97090;The Argentina-Chile Border Treaty;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97090;Now that the lands of Araucania and Patagonia are fully settled, the Argentinians have approached us to work out a border treaty. They intend to claim the lands east of the Andes and are willing to concede the lands east of the Andes to us. If we do not come to an agreement, future conflict is almost guaranteed.;;;;;;;;;;;;x,,,,,,,,
EVTNAME97091;Settling the Interior;;;;;;;;;;;;;;x
EVTDESC97091;The lands away from the coast are sparsely populated, and there are surely good farmlands to settle, resources to harvest, or wonders to be seen. It is our right, nay, our duty to claim our share, lest our greedy neighbours take all of wealth of this vast continent for themselves!;;;;;;;;;;;;;;;;;x
EVTDESC97095;Our outsider neighbours seek to take land for themselves and deprive our native brothers of their lives and livelihoods. We cannot yet openly combat them, but at least we can stake our own claims – as much as we abhor sinking to their level – so that we may protect those brothers who live outside of our borders already. And so that we may help them to better defend themselves against the alien robbers.;;;;;;;;;;;;;;;;;x 
EVTNAME97110;The Stirrings of Indian Nationalism;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97110;The people of India are diverse, consisting of numerous cultures and languages throughout the sub-continent. Seldom has there been any serious credence given to the idea of a single union crossing all cultural boundaries, save by force of arms. This has recently changed, with Indian nationalists in $COUNTRY$ calling for a true union-- one powerful enough to resist all imperialist efforts to conquer it. Surprisingly, their calls have received a great deal of attention.;;;;;;;;;;;;x,,,,,,
EVTDESC97111;The people of India are diverse, consisting of numerous cultures and languages throughout the sub-continent. Seldom has there been any serious credence given to the idea of a single union crossing all cultural boundaries, save by force of arms. This has recently changed, with nationalists in $FROMCOUNTRY$ calling for a true India-- one united and powerful enough to resist all imperialist efforts to conquer it. Surprisingly, their calls have received a great deal of attention in $COUNTRY$ and this unified nationalism has been rapidly spreading.;;;;;;;;;;;;x,,,,,,
EVTNAME97125;Flores Sale;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97125;Someone has agreed to sell to us their holdings on Flores.,Did this event seriously not have any entry anywhere?;;;;;;;;;x;,,,,,,,,,
EVTNAME97170;The Mahdist Uprising;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97170;A Sudanese religious leader by the name of Muhammad Ahmad has proclaimed himself the Mahdi (or 'guided one') and begun a war to unify the tribes in western and central Sudan. While the local government in Khartoum initially dismissed this man, further reports indicate the Mahdi possesses a great deal of magnetism-- and his rallying call of driving all foreign presence out of the Sudan has gained him a large following. These Mahdists may prove to be a serious threat.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME97171;Mahdists in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97171;Followers of the Mahdi have struck again, this time in the province of $PROVINCENAME$. The religious leader's jihad against foreigners has sparked a local rebellion, one that the authorities have had a difficult time putting down.;;;;;;;;;;;;x,,,,,,,,
EVTNAME97175;Chaos in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97175;The rebellion in $STATENAME$ has been going on for far too long, and we are in danger of losing control of the colony entirely. Local militants in $PROVINCENAME$ have gone so far as to declare their nation's independence... and while that isn't yet true, as $STATENAME$'s state of chaos is still far too widespread, it's an embarassment to $COUNTRY$ and,  given enough time, the militants might gain enough control to earn the colony's independence.;;;;;;;;;;;;x,,,,,
EVTNAME97180;Return of Our Lands;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97180;Rebels in a neighboring colony have destabilized it enough that the people there are calling out for $COUNTRY$ to restore order. This is our land, and it seems that the western powers have all but abandoned it to chaos. So why shouldn't we intervene? Still, there are some who say this will only damage our relationship with a power... one we cannot afford to anger.;;;;;;;;;;;;x,,,,,,,,
EVTDESC97181;Colonial Uprising in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97181;We have lost control of the situation in $STATENAME$. The rebels have gained sufficient control that they have ejected the $COUNTRY_ADJ$ governors and declared their independence... for now.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME97561;Rebels in $CAPITAL$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97561;With our forces off valiantly facing the enemy, rebels have taken advantage of the situation and stormed $CAPITAL$. They have taken over the $COUNTRY_ADJ$ government and already done a great deal of damage in order to drive out foreign influence in $COUNTRY$. Without the forces to oppose them, there is little we can do.;;;;;;;;;;;;x,,,,,,,,
EVTNAME97562;$CAPITAL$ Burns;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97562;$CAPITAL$ has been taken by the enemy, and a great deal of $COUNTRY$ is lost to our control. Many are saying that we only continue the war because our foreign masters insist that we do so, and that the time has come for us to let go of these ties-- no matter the consequences. Perhaps they are right, though it seems the situation is dire for $COUNTRY$'s future no matter what we do.;;;;;;;;;;;;x,,,,,,,
EVTNAME97566;Trouble in $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97566;The $FROMCOUNTRY_ADJ$ government is besieged by rebels, and threatens to fall if they do not receive assistance from $COUNTRY$. They warn us that if the rebels are successful, it's very likely that $FROMCOUNTRY$ would cease to be in $COUNTRY$'s sphere of influence.;;;;;;;;;;;;x,,,,,,,,
EVTNAME97570;Native Unrest in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,
"EVTDESC97570;I,have no idea,""what this event description is suppoed to be, and I don't feel like looking right now.;;;;;;;;;;;;x"",,,,,,,,"
EVTNAME97600;Sakoku;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC97600;Meaning 'locked country', Sakoku was the foreign relations policy of Japan instituted by the Tokugawa shogunate in the 17th century, with no foreigner allowed to enter the country on pain of death. While some contact with westerners was permitted in the south, at the Dejima trade enclave in particular, such contact was strictly regulated and kept Japan in a state of isolation from the rest of the world.;;;;;;;;;;;;x,,,,,,
EVTNAME97601;Rangaku;;;;;;;;;;;;x,,,,,,,,,,
