#unequal_treaty_desc;The Japanese are at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both trading privileges and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;x,,,,,,,,,,,,,
claim_greater_albania_desc;The lands of ethnic Albanians must be reunited with the motherland, no matter where they might live.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_greater_albania_title;Claim Greater Albania;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_greater_armenia_desc;Armenia has a rightful claim on the lands to the west, we must stake this claim and fight the Turks for it so we can unit with our brothers in Adana.;;;;;;;;;;;;;x,,
claim_greater_armenia_title;Reincorporation of the Armenian Plateau;;;;;;;;;;;;;x,,,
claim_greater_bengal2_desc;The Bengal Empire once ruled over much of eastern India, and the time has come to once again restake our claim. We must strike a blow against the forces of imperialism!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_greater_bengal2_title;Claim Greater Bengal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_greater_bengal_desc;The Bengal Empire once ruled over much of eastern India, and the time has come to once again restake our claim. We must strike a blow against the forces of imperialism!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_greater_bengal_title;Claim Greater Bengal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_greater_bosnia_desc;The Great Powers have denied Bosnia her destiny, that of ruling all the Bosniak peoples. Let us defy them, and forge a greater Bosnia by removing the Serbs from the premises!;;;;;;;;;;;;;x,
claim_greater_bosnia_title;Claim Greater Bosnia;;;;;;;;;;;;;x,,,
claim_greater_brittany_desc;Our King has a distant claim on the Duchy of Anjou, and although the time for such royal claims has passed, we still feel that it is a valid enough reason to attempt to reclaim those lands.;;;;;;;;;;;;;x,
claim_greater_brittany_title;Staking our Claim on the Duchy of Anjou;;;;;;;;;;;;;x,,,
claim_greater_lith_desc;Now that we've gained our independence it is imperative to push the borders of Lithuania to our ethnic boundaries;;;;;;;;;;;;;x,,,
claim_greater_lith_title;Greater Lithuania;;;;;;;;;;;;;x,,,
claim_greater_mongolia_desc;The lands of ethnic Mongolians must be reunited with the motherland, no matter where they might live.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_greater_mongolia_title;Claim Greater Mongolia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_greater_navarra_desc;The Basque have remained spread across Northern Hispania for centuries, and now that we've gained our independence we should extend our state to all the Basque peoples.;;;;;;;;;;;;;x,,
claim_greater_navarra_title;Uniting the Basque Peoples;;;;;;;;;;;;;x,,,
claim_greater_persia_desc;Now that Persia has westernized and become a power in her own right, we can reclaim the lands of our forefathers from the conquerers who have taken them from us.;;;;;;;;;;;;;x,,
claim_greater_persia_title;Reclaiming the Afsharid Dynasty Lands;;;;;;;;;;;;;x,,,
claim_greater_pontus_desc;Sevastopol is rightful Roman territory. We must reclaim it from the hordes who overran it centuries ago.;;;;;;;;;;;;;x,,
claim_greater_pontus_title;Claim Sevastopol;;;;;;;;;;;;;x,,,
claim_hail_desc;We cannot unite all of Arabia under our banner unless we control the northern provinces. The House of Saud must stand dominant!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_hail_title;Claim Ha'il;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_hedjaz_HAL_desc;We must claim the western lands in Hedjaz if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_hedjaz_HAL_title;Claim Hedjaz;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_hedjaz_NEJ_desc;We must claim the western lands in Hedjaz if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_hedjaz_NEJ_title;Claim Hedjaz;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_interior_desc;Now that we have gained independance from Hispania, we can now assert our control over the outback.;;;;;;;;;x
claim_interior_title;Claiming the Interior;;;;;;;;;x
claim_kingdom_of_aragon_desc;The old kingdom of Aragon has to be reconquered for re-incorporation into the state, now we have a chance to reinstate her and return our people to us.;;;;;;;;;;;;;x,,
claim_kingdom_of_aragon_title;Rebuild the Kingdom of Aragon;;;;;;;;;;;;;x,,,
claim_kingdom_of_leon_desc;For the first time in centuries the Leonese people are free from Castilian rule, what better way to celebrate this than to reclaim our old holdings in Iberia?;;;;;;;;;;;;;x,,
claim_kingdom_of_leon_title;The Kingdom of Leon;;;;;;;;;;;;;x,,,
claim_korea_desc;With Korea under foreign rule, our nation feels threatened. The 'line of advantage' means that protecting our borders means extending our influence beyond them, and thus we must move to claim the Korean peninsula and wrest it from those who hold it in their grasp-- in the name of Korean freedom, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
claim_korea_title;Claim Korea;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_mayan_lands_desc;The time has come for the Mayan people to reclaim what they have lost!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_mayan_lands_title;Rebuild the Mayan Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_natalia_desc;The Natal is Steenkooler territory and rightfully belongs to us as part of our nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_natalia_title;Claim Natalia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_nejd_desc;We cannot unite all of Arabia under our banner unless we control the central provinces. The House of Rashid must stand dominant!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_nejd_title;Claim Nejd;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_north_cape_colony_desc;The northern cape colony rightfully belongs to us. We must take steps to assert our claim, before our African ambitions come to naught.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_north_cape_colony_title;Claim the Northern Cape;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_north_caucasus_desc;By rights, the northern Caucasus region belongs as part of our country just as do its people.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_north_caucasus_title;Claim the Northern Caucasus;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_oranje_desc;The territory of the Tusstrom is Steenkooler land and rightfully belongs to us as part of our nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_oranje_title;Claim Tusstromen;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_pashtun_regions_desc;Now that we've extended our realm to the Afsharid Dynasty holdings, we can try to incorporate the Pashtun regions in Afghanistan;;;;;;;;;;;;;x,,
claim_pashtun_regions_title;Incorporating the Pashtun;;;;;;;;;;;;;x,,,
claim_republican_borders_desc;Since regaining our freedom from the Austrians our people have grown increasingly militaristic and the cries for retaking the provinces we lost to the Treaty of Campo Formio have grown to the point where they can no longer be ignored. It is time to reclaim our prominence in the Mediterranean.;;;;;;;;;;;;;x,,,
claim_republican_borders_title;Reclaiming Our Historical Holdings;;;;;;;;;;;;;x,,,
claim_sakhalin_desc;Russia has ruled lands on Sakhalin Island for some time now, and much of the archipelago's population is Russian. It's time we let the world know that we consider these lands to be a core Russian territory, which we will defend to the last!;;;;;;;;;;;;;x,,,,,,,,,,,
claim_sakhalin_title;Claim Sakhalin;;;;;;;;;;;;;x,,,,,,,,,,,,,
claim_santa_catarina_desc;Our fellow rebels in the neighboring province of Santa Catarina must be liberated. The Juliana Republic must be freed from Brazilian rule!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_santa_catarina_title;Claim Santa Catarina;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_savoy_desc;While we had hoped to one day regain control over Savoy through diplomatic means, with the formation of Italy that is now impossible. We must lay claim to Savoy, and liberate the French therein through force of arms.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
claim_savoy_title;Claim Savoy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_schleswig_desc;The duchies of Schleswig and Holstein have long been united and considered indivisible under the Danish crown, but a question of royal claim to the duchies combined with the Holsteinian desire to join in the larger German Confederation to the south has led to considerable difficulty for King Frederick VII. The treatment of Danish people in Schleswig living under Holsteinian domination has led to a call for the duchy to be incorporated into Denmark proper. This is unlikely to be looked on favorably by the conservative German aristocracy in Holstein.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_schleswig_title;Claim Schleswig;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_slovene_lands_desc;The Slovene provinces of Trieste and Klagenfurt have been under foreign rulers for too long, let us reclaim our land!;;;;;;;;;;;;;x,,
claim_slovene_lands_title;Reclaming Slovene Lands;;;;;;;;;;;;;x,,,
claim_tatar_lands_desc;Now that the Tatars are strong once again, we must reclaim the historical lands of Tartary!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_tatar_lands_title;Claim Tatar Lands;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_the_highlands_desc;For the first time in millenia the Assyrian peoples have a nation of their own, let us extend it to all our peoples for the glory of god!;;;;;;;;;;;;;x,,
claim_the_highlands_title;Greater Assyria;;;;;;;;;;;;;x,,,
claim_transvaal_desc;The Obervahl is Steenkooler territory and rightfully belongs to us as part of our nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_transvaal_title;Claim the Obervahl;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_xhosa_lands_desc;The Xhosa lands rightfully belong to the Kaap Colony, and the colonial governor has made a formal request to the Dutch government to adminster the lands to protect colonist safety along the border.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_xhosa_lands_title;Claim Xhosa Lands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_colonial_armies_title;Reform the $COUNTRY_ADJ$ Colonial Army;x
organize_colonial_armies_desc;In the past, the amount of overseas colonial troops we had available was limited by logistic factors. Ships, orders, troops and officers took a long time to arrive and the control over the land coupled with the unwillingness of the natives inhabitants to cooperate meant that we didn't realize the full potential of our colonies. We now posses the technology to change that.\n\nßRNOTE: This decision increases the maximum allowed percentage of non-animist soldier pops in colonies from 1% to 2%. Animist pops still need to convert before they can go over 1%.ßW;x
colonial_armies;Colonial Army Reformed;x
commodore_perry_expedition_desc;The Far East remains an enigma, and one which is beyond the reach of most western powers due to the enforced seclusion of China and Japan. While China is largely spoken for, Japan remains a potential target for American influence to expand. If we are to be taken seriously as a world power, we must consider sending a force to negotiate for trade rights with the Japanese-- under the threat of military force, if necessary.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
commodore_perry_expedition_title;Commodore Perry's Expedition;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
communist_faction;Communist Faction;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
conquest_of_the_desert_desc;A proposal has been brought forth to finally push into the southern Patagonian lands and pacify them once and for all. Argentina must make its claim so none can deny us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
conquest_of_the_desert_title;Conquest of the Desert;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
convention_of_peking_desc;Since the Treaty of Nerchinsk (1689), the Russian Empire has recognized the Aigun river and the Stanovoy mountains as the natural frontiers between Russia and China. There are many within the government, however, who believe it would be in our best interest to access a southern port upon the Sea of Japan-- namely the Chinese city of HaIshenwai. Considering the Chinese only barely control their northeastern provinces, it seems within our right to negotiate for their controlÖ and with their state of turmoil now if the best time to approach them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
convention_of_peking_title;The Peking Convention;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_baltic_states_GER_desc;The former Grand Duchy of Livonia, a union of the northern baltic cultures, would make for a stronger ally than either Latvia or Estonia would alone. Let us create a puppet United Baltic Provinces nation that will serve us now and forever.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
create_baltic_states_GER_title;Form the Baltic Union;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_baltic_states_desc;Uniting the Baltic nations under a single flag, as a puppet to our nation, will make for a much stronger ally.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
create_baltic_states_title;Create the Baltic States;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_cambodian_protectorate_desc;Fearing invasion by the Siamese, the Cambodians have requested that we allow them to join the Dai Viet in protection by our nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
create_cambodian_protectorate_title;Create Cambodian Protectorate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_iberia2_desc;We have proven our mettle and united the Iberian peninsula under our rule. Now the time has come for a new Iberian federation to be born, one that unites all of the peninsula's cultures under a single rule.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
create_iberia2_title;Become Iberia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_iberia_desc;We have proven our mettle and united the Iberian peninsula under our rule. Now the time has come for a new Iberian federation to be born, one that unites all of the peninsula's cultures under a single rule.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
create_iberia_title;Become Iberia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_kashmir_desc;For the good of the Empire, we should create a new Princely State in the northern dominion of Kashmir.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
create_kashmir_title;Create the Kashmir Dominion;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_laos_protectorate_desc;The Laotians will not be able to stand against their much larger neighboursÖ not without our help. We should approach them and offer our protection. The civilized thing to do.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_laos_protectorate_title;Create Laotian Protectorate;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_malaya_desc;A unified and civilized federation of the Malay peoples will provide a stronger ally for our nation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_malaya_title;Create Malaysia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_romania_desc;A united and free Volasea will make a formidable and valuable ally.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_romania_title;Create Volasea;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_transcaucasia_desc;The nations of the southern Caucasus must be united together, a vassal that will serve as a loyal and mighty ally to our country.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
create_transcaucasia_title;Create Transcaucasia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
create_yugoslavia_desc;If the Slavic peoples of the Balkans are united under a single flag, they will be a far more useful ally then as separate and constantly warring states.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
create_yugoslavia_title;Create Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
cuba_pri_purchase_desc;Hispania, once the greatest colonial power in the world, is now barely second-rate, and has fallen into our sphere of influence. Now we can make a deal with them to alleviate their overseas burdens, and purchase Cuba and Puerto Rico from them for a princely sum.;;;;;;;;;;;;;x
cuba_pri_purchase_title;Purchase Cuba and Puerto Rico;;;;;;;;;;;;;x
customs_union;Customs Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
customs_union_desc;We are a member of a customs union, designed to reduce the barriers in trade between the member nations.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
declare_neutrality_desc;The Swiss have little interest in the wars of Europe.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
declare_neutrality_title;Declare Swiss Neutrality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
demand_retreat_from_india;Demand Retreat From India;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
demand_retreat_from_india_desc;The majority of India has been wrested from British control. A choice is upon us: either demand their retreat from the sub-continent, freeing all their vassals and annexed lands, or continue our war and hope to achieve our current goals. A British retreat may result in chaos, and we certainly would not attain the war goals we have in play, but it would at least take the British out of the equation for the years to come.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
demand_retreat_from_india_title;Demand Retreat From India;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
desc_lucky_nation;In all that we do, our nation seems to prosper and thrive.;;;;;;;;;x
education_decree_1863_desc;Through the Education Decree of 1863, the Netherlands established a free public shool system in Panaja that used Dutch as the language of instruction, leading to an increasing number of educated Panajans. This would be the first in a number of colonial initiatives that rendered Panaja as one of the few places in the world where it was said to have visibly improved and prospered under colonial rule.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
education_decree_1863_title;Panajan Education Decree;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_albanians_YUG_desc;The Albanians are not truly a Slavic culture, and notoriously at odds with the rest of the Slavs. With enough effort, however, it should not be impossible to integrate them more fully into the Yugoslav culture and government. Perhaps this might even mean a future of peace between our peoples.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
embrace_albanians_YUG_title;Embrace Albanians;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_bosnians_YUG_desc;The Bosniaks are historically a Muslim culture, and notoriously at odds with the rest of the Slavs. With enough effort, however, it should not be impossible to integrate them more fully into the Yugoslav culture and government. Perhaps this might even mean a future of peace between our peoples.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
embrace_bosnians_YUG_title;Embrace Bosniaks;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_bulgarians_YUG_desc;The Bulgarians often do not consider themselves true Slavs, or perhaps they simply think themselves superior? Either way relations with the Bulgarians have been difficult. With enough effort, however, it should not be impossible to integrate them more fully into the Yugoslav culture and government. Perhaps this might even mean a future of peace between our peoples.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
embrace_bulgarians_YUG_title;Embrace Bulgarians;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_croat_minority_desc;We shall embrace our Croat citizens, and elevate them to the status shared by that of the Hungarians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
embrace_croat_minority_title;Embrace the Croat Minority;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_czech_minority_desc;We shall embrace our Czech citizens, and elevate them to the status shared by that of the Hungarians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
embrace_czech_minority_title;Embrace the Czech Minority;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_greeks_YUG_desc;The Greeks are not truly a Slavic culture, and notoriously at odds with the rest of the Slavs. With enough effort, however, it should not be impossible to integrate them more fully into the Yugoslav culture and government. Perhaps this might even mean a future of peace between our peoples.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
embrace_greeks_YUG_title;Embrace Greeks;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_polish_minority_desc;We shall embrace our Polish citizens, and elevate them to the status shared by that of the Hungarians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
embrace_polish_minority_title;Embrace the Polish Minority;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
embrace_slovene_minority_desc;We shall embrace our Slovene citizens, and elevate them to the status shared by that of the Hungarians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
embrace_slovene_minority_title;Embrace the Slovene Minority;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
enact_muhammad_alis_reforms_desc;Muhammad Ali, an Albanian born in Macedonia during Ottoman rule there, served in the Kavala Volunteer Contingent of the Ottoman Army in Egypt during the first years of the 19th century. Following the withdrawal of Napoleon's armies from Egypt Muhammad, through a long series of political maneuvering, came to be elected Wali (governor) of Ottoman Egypt, a position he would eventually use to secure Egypt as his own personal domain as Mamluk power waned. During his reign he instituted a series of more or less popular, and more or less successful, reforms, all aiming to transform Egypt into a modern, european-style, state. The resistance to these reforms will slow down progress for a time, but the benefit to Egypt itself will be immeasurable.;;;;;;;;;;;;;x,,,,,,,,,,,
enact_muhammad_alis_reforms_title;Muhammad Ali's Reforms;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
encourage_arab_nationalism_desc;The way to truly fight the Ottoman Empire is to dismantle it from within. We must encourage their Arab minorities to rise up and seek their own destiny as independent nations.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
encourage_arab_nationalism_title;Encourage Arab Nationalism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
encourage_war_desc;Support for the current war is weak, with a little effort we could start a propaganda campaign to convince them otherwise.;;;;;;;;;;;;;x
encourage_war_title;Encourage War;;;;;;;;;;;;;x
end_of_NGF_ANH;Become Anhalt;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_ANH_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Anhalt is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_BRA;Become Brunswick;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_BRA_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Brunswick is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_BRE;Become Bremen;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_BRE_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Bremen is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_COB;Become Saxe-Coburg-Gotha;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_COB_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Saxe-Coburg-Gotha is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_FRM;Become Frankfurt;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_FRM_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Frankfurt is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HAM;Become Hamburg;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HAM_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Hamburg is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HAN;Become Hannover;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HAN_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Hannover is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HEK;Become Hesse-Kessel;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HEK_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Hesse-Kessel is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HES;Become Hesse-Darmstadt;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_HES_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Hesse-Darmstadt is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_LIP;Become Lippe;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_LIP_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Lippe is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_LUB;Become L¸beck;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_LUB_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than L¸beck is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_MEC;Become Mecklenberg;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_MEC_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Mecklenberg is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_MEI;Become Saxe-Meiningen;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_MEI_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Saxe-Meiningen is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_NAS;Become Nassau;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_NAS_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Nassau is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_OLD;Become Oldenburg;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_OLD_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Oldenburg is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_PRU;Become Prussia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_PRU_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Prussia is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_SAX;Become Saxony;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_SAX_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Saxony is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_WEI;Become Saxe-Weimar;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_NGF_WEI_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Saxe-Weimar is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_SGF_BAD;Become Baden;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_SGF_BAD_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Baden is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_SGF_BAV;Become Bavaria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_SGF_BAV_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than Bavaria is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
